id,name,username,date,reply_to,content,reply,retweet,like
heninoSep72021 ini pe,henino,@HeniSunari,"Sep 7, 2021",, ini pelaku penyerangan Ahmadiyah itu Gus?,,1,
NasrunAminullahMuchtarSep72021Setiap ,Nasrun Aminullah Muchtar,@NasrunMuchtar,"Sep 7, 2021",@saidiman,"Setiap nabi yg datang ke dunia ini adakah nabi yg tidak ditentang pada awal kedatangannya? Pernahkah nabi gagal dalam misi ajarannya? Utusan Allah datang pasti akan bertentangan dgn paradigma zamannya, banyak orang2 termakan fitnah oleh ulama suu'.. Itu yg dialami ahmadiyah.",,,
marionomarionojugaSep72021Pengiku,mariono marionojuga,@marionojuga,"Sep 7, 2021",,"Pengikut Ahmadiyah itu  sekalipun pa Jokowi bersedia mengimamisholat berjamaah dengan mereka, mereka ahmadiyya pasti menolak jadi makmum. 
Kenapa? Silahkan pengikut ahmadiyya yang menjawab.",,,
SONTOLOYOSep72021Denny S,SONTOLOYO,@cagubnyinyir2,"Sep 7, 2021",,"Denny Siregar: Si Po, pake daster merah dan dua orang pria berjanggut bergamis panjang ala Arab
merusak dan membakar masjid Ahmadiyah di Sintang, Kalbar.
Menantang polisi, mendorong prajurit TNI.
@hansssolo
 @lukmanalwahid
 @SoffiAgus
 @OSoekaryo
 @TJumiat
 @djokoAdv
 @SundaDayak",1,1,3
"DedenSujanaSep72021Bung 
@",Deden Sujana,@dedensujana,"Sep 7, 2021",,"Bung 
@Dennysiregar7
 dengerin nih sahabat anda bicara ,bukan kaya twit anda Ahmadiyah gak usah bikin mesjid sendiri ",,,
NasrunAminullahMuchtarSep72021Sebenar,Nasrun Aminullah Muchtar,@NasrunMuchtar,"Sep 7, 2021",@saidiman,"Sebenarnya bnyk terjadi kesalah pahaman orang2 ttg Ahmadiyah. Literasi orang Indonesia rendah, malas baca. Kalau mau tahu cara bikin tahu tanyalah sama tukang tahu, bukan tanya sm tukang besi. Kalau mau tau ahmadiyah bacalah dari sumbernya website resmi http://ahmadiyah.id",,3,6
SONTOLOYOSep72021Denny S,SONTOLOYO,@cagubnyinyir2,"Sep 7, 2021",,"Denny Siregar: Si Po, pake daster merah dan dua orang pria berjanggut bergamis panjang ala Arab
merusak dan membakar masjid Ahmadiyah di Sintang, Kalbar.
Menantang polisi, mendorong prajurit TNI. https://indozone.id/amp/Z8sP39d/sosok-pria-berjanggut-bergamis-merah-pembentak-polisi-denny-siregar-sejenis-teletubbies?__twitter_impression=true…
@hansssolo
 @2020_STMJ
 @ijadz_cs
 @Fachry_Murakata
 @Irwan2yah",3,5,13
BoechariKarim.Sep72021Bisa be,Boechari Karim.,@boecharikarim,"Sep 7, 2021",@John_Gleewoe,"Bisa begitu,soalnya Ahmadiyah juga punya imam besar yg sangat dihormati oleh pengikutnya yaitu klan Aga khan...",,,
pangkostralSep72021Jadikan,pangkostral,@MelasAgus1,"Sep 7, 2021",,Jadikan pendamping Ahmadiyah saja,,,1
BoechariKarim.Sep72021Anda ya,Boechari Karim.,@boecharikarim,"Sep 7, 2021",@MAhmadiyah,"Anda yang kurang wawasan....
Ahmadiyah bukan bagian dari Islam, itu ciptaan penjajah Inggris...",1,,
JullianiAzzahraSep72021Setiap ,Julliani Azzahra,@Jullianiazzahra,"Sep 7, 2021",@Dennysiregar7,"Setiap org brhk ibadah sesuai kyknan masing2 .
Tpi mnrt sya dri 5 agama yg di lindungi UU tdk ada Ahmadiyah.walau melenceng dri ajrn Al-Qur'an dan bkn ajaran Al-Qur'an khadiz nabi Muhammad Saw..
Tpi tdk setuju dg sikap arogan sprti itu ,di agama mna pun tdk ad ajaran brutal bgtu",1,,
BLANKSep72021https:/,BLANK,@beginiasik,"Sep 7, 2021",,https://goo.gl/Bq5Bhi Komnas HAM Minta Polisi Usut Aktor Intelektual Perusakan Masjid Ahmadiyah http://dlvr.it/S73s14,,,
BeritaBloggerSep72021Komnas ,Berita Blogger,@napnipnop,"Sep 7, 2021",,Komnas HAM Minta Polisi Usut Aktor Intelektual Perusakan Masjid Ahmadiyah,,,
BoechariKarim.Sep72021Memang ,Boechari Karim.,@boecharikarim,"Sep 7, 2021",@addhi_nugroho,"Memang imannya sama dengan penganut Ahmadiyah ?
Kok bisa terganggu sampe beringas gitu...",1,,
RaiskoeSep72021Saya Bu,Raiskoe,@Raiskoe1,"Sep 7, 2021",,"Saya Bukan Penganut Ahmadiyah, Tapi Si Celana Cingkrang yang Menyakiti Mereka adalah Biadab!",,,
detikcomSep72021Perusak,detikcom,@detikcom,"Sep 7, 2021",,"Perusakan masjid Ahmadiyah di Tempunak, Sintang, Kalbar, berujung petaka. Sembilan warga yang diduga terlibat dalam perusakan pun ditetapkan tersangka.",3,2,8
LadyZeebo|Instagram@Lady_Zeboo|Sep72021Lagi-la,Lady Zeebo | Instagram @Lady_Zeboo |,@Lady_Zeebo,"Sep 7, 2021",,"Lagi-lagi pelaku perusakan masjid ahmadiyah di kalbar, Wahabi. 

Setiap ada kekerasan atas nama agama, pasti ada Wahabi di sana. 

Wahabi kanker di tubuh umat Islam. Kanker ini harus segera disingkirkan, kirim saja mereka ke Saudi atau Afghanistan.",54,122,448
AchmadSatryoSep72021Sering ,Achmad Satryo,@satroyyudhantok,"Sep 7, 2021",,"Sering dialami jemaat Ahmadiyah di t4t lain, yg kmdian digoreng d medsos sampai trjdi kerusuhan antara warga set4. Hal itu dikahwatirkan 
@KomnasHAM
 shingga minta Mabes Polri segera ambil alih kasus perusakan masjid di Kalbar. #BacaRMOL 
@rmol_id",,,
PersAhmadiyahIndonesiaSep72021Terkait,Pers Ahmadiyah Indonesia,@PersAhmadiyah,"Sep 7, 2021",,"Terkait Pelaku Perusakan Masjid Ahmadiyah Sintang, Ketua FKUB Jateng: Mereka Perusuh Berkedok Agama

Sumber: https://youtu.be/HHilA2rmQrQ

#CabutSKB3MenteriAhmadiyah",,4,10
Sang__PencerahSep72021Ahmadiy,Sang__Pencerah,@umat_jahiliyah,"Sep 7, 2021",@Dennysiregar7,"Ahmadiyah meyakini bahwa hukum khamr/miras dan opium tdk haram sama seperti Kristen. jd pemerintah harus membatasi sekte ini kalau tidak ingin generasi kita Rusak,karena miras adalah sumber dari segala kejahatan",6,1,
Tomyalga7Sep72021Bersatu,Tomyalga7,@Tomyalga7,"Sep 7, 2021",@panjimascom,"Bersatulah Ummat Islam . Bkn hanya ahmadiyah , LDII ini lebih biadab dari ahmadiyah . Islam sdh diobrak abrik ajarannya dgn LDII ini . Ldii ini mwngaku Islam tetapi ajaran2nya sangat2 menyesatkan . Cara2 lama msih mereka pakai buat merekrut gerombolan2 baru . Doktrin2nya biadab .",,,
BeritaTerkiniSep72021Perusak,Berita Terkini,@21BeritaTerkini,"Sep 7, 2021",,"Perusakan masjid Ahmadiyah di Tempunak, Sintang, Kalbar, berujung petaka. Sembilan warga yang diduga terlibat dalam peru... https://facebook.com/detikcom/posts/10160843441812079?utm_source=dlvr.it&utm_medium=twitter… #beritaterkini",,,
MuridIslamAhmadiyahSep72021kalau m,MuridIslamAhmadiyah,@MAhmadiyah,"Sep 7, 2021",@whatsadp,"kalau menurutmu bukan ya gpp. mau berjuta2 orang mengkafirkan, kalau Allah Ta’ala mengutus Muhammad (saw) atau pendiri Ahmadiyah sebagai Nabi, ya mereka tetap Nabi..",1,,
PARTAIKETOPRAKSep72021DEDENGK,PARTAI KETOPRAK,@partaiketoprak,"Sep 7, 2021",@FaheemYounus,DEDENGKOT AHMADIYAH NGAMUK.,,,
DahlanSep72021Saya Ah,Dahlan,@Dahlan68624650,"Sep 7, 2021",@panjimascom,Saya Ahlisunnah Berjemaah..tolong jelsin secara detil tengtang Ahmadiyah. dan di mna titik yg sesat..karena Shahadhatnya Sama dengan Shahadhat nya Ahlisunnah Berjemaah,,,
zul_piliankSep72021Ketika ,zul_piliank,@zul_piliank02,"Sep 7, 2021",@OposisiCerdas,Ketika masjid di tolikara di bakar malah pembakar nya di undang ke istana dan ahmadiyah yang udah jelas sesat dan menyesatkan malah di lindungi,1,,
®DananGTIyAswOro&Sep72021Itu log,® DananG TIyAswOro &,@DanangTiyasworo,"Sep 7, 2021",@sastro0001,"Itu logika yang mengerikan. Padahal Ahmadiyah (juga Syiah) adalah kaum yang damai, tak pernah berbuat onar.",2,,1
Sang__PencerahSep72021Ahmadiy,Sang__Pencerah,@umat_jahiliyah,"Sep 7, 2021",@CupangSawah7,Ahmadiyah menghalalkan miras seperti Kristen pdhal miras sumber dari semua kejahatan,5,,
sastroSep72021mky sbl,sastro,@sastro0001,"Sep 7, 2021",@DanangTiyasworo,mky sblm tjd pmbkrn itu ahmadiyah dsdrkn dl agar tdk tjd pembkrn,1,,
yassirSep72021kalau k,yassir,@iswara_gandi,"Sep 7, 2021",@HasibuaN19s,"kalau km50 bilangnya, ""itu kan gara2 mereka nyerang duluan""

giliran kasus ahmadiyah,  gak peduli tuh apa penyebab awalnya. kenapa aliran sesat nangkring disitu?",,,
BoechariKarim.Sep72021Setau s,Boechari Karim.,@boecharikarim,"Sep 7, 2021",@SabarTanjungATJ,"Setau saya,ahmadiyah sengaja diciptakan oleh penjajah inggris untuk memecah belah kaum muslim di India pada saat itu.
Krn kewalahan menghadapi perjuangan kaum muslimin.
Saat itu belum ada negara Pakistan dan Bangladesh...
Ini menurut sejarah yg saya baca lho.",1,,
DwieAroemHadiatieSep72021Polisi ,Dwie Aroem Hadiatie,@Aroeem,"Sep 7, 2021",,"Polisi telah menetapkan 9 tersangka dlm kasus perusakan masjid Ahmadiyah d Tempunak, Sintang, Kalbar. Para tersangka disangkakan Pasal 170 KUHP dgn ancaman 5 tahun 6 bulan penjara.

Check out Bambang Soesatyo's video! #TikTok https://vt.tiktok.com/ZSJw8kMAT/

@bamsoetnews 
@bamsoetchannel",,1,1
MuridIslamAhmadiyahSep72021pertany,MuridIslamAhmadiyah,@MAhmadiyah,"Sep 7, 2021",@blackkemrih,"pertanyaan simple sederhan, kan anda tidak percaya pendiri Ahmadiyah itu Almasih yg turun di akhir zaman. pertanyaanya, apakah Almasih yang turun nanti, masih sebagai Nabi atau tidak? ",1,,
ArulSep72021Ahmadiy,Arul,@Arul70848368,"Sep 7, 2021",@Dennysiregar7,"Ahmadiyah itu nabinya mirza ghulam ahmad jd mrk sdh termasuk menista agama islam,  krn mrk ngaku muslim tp nabinya lain, hrsnya kl nabinya lain, bikin agama sendiri bukan ngaku muslim itu bisa termasuk kategori pasal penistaan terhadap agama islam",1,,
BuyaEsonSep72021Hingga ,Buya Eson,@emerson_yuntho,"Sep 7, 2021",,"Hingga hari ini Pak 
@hnurwahid
 belum merespon tawaran pembuatan draft pernyataan mengecam perusakan rumah ibadah (Masjid Ahmadiyah) besar kemungkinan karena paket internet beliau habis. 

Adakah Netizen budiman yg bersedia berdonasi paket langganan internet untuk beliau?",75,179,563
IskandarSep72021Lewat T,Iskandar,@antoniusdwisap1,"Sep 7, 2021",,"Lewat Tulisan ini saya mau bertanya kepada para perusak kebhinekaan di indonesia atas nama Agama,benarkah perintah tuhanmu berlaku barbar dan arogan kepada setiap orang yg berbeda keyakinan terhadapmu ?? Dan kepada jemaat ahmadiyah berdoalah ampuni dia yg tidak tau itu",,,
EllyPutriSimanjuntak.Sep72021Semua m,Elly Putri Simanjuntak.,@SimanjuntakElly,"Sep 7, 2021",@__AnakKolong,"Semua manusia ciptaan Tuhan.
Semua  manusia sama dimataTuhan
Tuhan aja menghargai dan menyayangi kita yg berdosa. 
Mari kita saling menghargai dan menyayangi.
Bagi jemaat Ahmadiyah dimanapun berada kita bersaudara seBangsa dan se TanahAir.",,1,4
ArwinSholihinSep72021Apa uru,Arwin Sholihin,@er_sholihin,"Sep 7, 2021",,"Apa urusan alsn mrk jd ahmadiyah. Mau jd appun itu ursn mrk, intinya jgn ngaku islam kl aktifitasnya menyelisihi islam. Itu aja. Pernah gk lht org kristen di cegah ibadahna sm muslim? Kan gak pernah. Krn ursn agm mrk gk ad hub dgn islam. Beda crt kl ngaku islam terus menyesatkan.",,,
aa_aa_aaSep72021https:/,aa_aa_aa,@himaahim,"Sep 7, 2021",@himaahim,"https://mui.or.id › files › 13b...PDF
PENJELASAN TENTANG FATWA ALIRAN AHMADIYAH - Majelis Ulama Indonesia",,,
