id,name,username,date,reply_to,content,reply,retweet,like
mElonBuskAug12021..dan a,mElon Busk,@jannotama,"Aug 1, 2021",@jannotama,..dan ahmadiyah (ybs ahmadiyah),,,
Dε∂εкAug12021Ini sih,Dε∂εк,@dektampu,"Aug 1, 2021",@FitriUnie24,"Ini sih bukan ahmadiyah, tapi liberal jahanam",1,,1
WarungPediaAug120211. Siap,WarungPedia,@padang_london,"Aug 1, 2021",@bnsphr,"1. Siapa blg?unitarism itu dr dulu dan bhk semakin banyak di eropa, akidah unitarism, judaism dan islam sama, anti trinitas, kristen skrg itu mirip2 ahmadiyah...menuhankan manusia
2. Isaiah 42 itu, hamba Allah yg akan menghancurkan Helenistic human God
3. Tuhan Moses itu Allah",2,,
iniipin~Aug12021libra a,ini ipin~,@iphines,"Aug 1, 2021",@unmagnetism,libra ahmadiyah,,,
billtemporoAug12021GAFATAR,bill temporo,@BillTemporo,"Aug 1, 2021",,GAFATAR=Gerakan Fajar Nusantara=AHMADIYAH=KAFIR,,,
CamarTololJul312021Ahmadiy,CamarTolol,@GPilot82,"Jul 31, 2021",@FitriUnie24,Ahmadiyah...,1,,
nashrullahOTWJul312021Si ahma,nashrullah OTW,@nashrullahHNI,"Jul 31, 2021",@FitriUnie24,Si ahmadiyah bakul vaksin,,,
MuridIslamAhmadiyahJul312021ahmadiy,MuridIslamAhmadiyah,@MAhmadiyah,"Jul 31, 2021",@oyotwit,ahmadiyah juga percaya itu yakni tidak akan ada lagi Nabi baru yang menggantikan ajaran Nabi Muhammad (saw),1,,
saidaqil69Jul312021Kan uda,said aqil 69,@mad_m4xx,"Jul 31, 2021",@Markonah_003,"Kan udah di bilang, ahmadiyah sama syi'ah kayak tai sapi di belah 2",,,
apt.Jul312021sama aj,apt.,@Captahp,"Jul 31, 2021",@HirmanF,"sama aja...cm khas jil adalah meliberalisasi syariat,klo syiah(rafidhah) sangat benci Khulafaur Rasyidin kecuali Ali RAhu)+Ummul mukminin Aisyah RAha,klo ahmadiyah meyakini mirza itu nabi & menerima wahyu
Na'udzubillah tsumma Na'udzubillah semoga kita dikuatkan dlm aqidah islam",1,1,3
Jul312021Mau nan,,@HirmanF,"Jul 31, 2021",@RestyCayaaah,"Mau nanya .
JiL,syiah ,Ahmadiyah mana yg paling melenceng ?",1,,1
Bang_AnungJul312021tapi he,Bang_Anung,@nung_306,"Jul 31, 2021",@helda_shahab,"tapi heran ko sy gak di blokir ya...

biarin dah dianggap syiah kek, ahmadiyah kek, baha'i kek atau sekalian dibilang penyembah TUTUP BALSEM juga bodo amat.",1,,
ERROR404Jul312021Ahmadiy,ERROR 404,@NotFound_1945,"Jul 31, 2021",@agis_official,Ahmadiyah sesat dan menyesatkan.. ,,,1
вαℓqєєssαℓαmeryJul312021What ? ,вαℓqєєss αℓαmery,@agis_official,"Jul 31, 2021",,"What ? Ahmadiyah Muslim Community ?
Ahmadiyah Bukan Islam Ahmadiyah Bukan Muslim  ",2,22,126
#SAVEINDONESIA#Jul312021Ini dok,#SAVE INDONESIA#,@D4D4NGLH,"Jul 31, 2021",,"Ini dokter ahli Covid 
@FaheemYounus
 ternyata agama nya Ahmadiyah.",,,
